atom_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2020-05-14T00:00:00.0000000Z,2.5632,2.5632,2.47,2.5243,37803.9150456,229
2020-05-15T00:00:00.0000000Z,2.5354,2.5614,2.4198,2.4645,8538.3415334,91
2020-05-16T00:00:00.0000000Z,2.5024,2.5648,2.4954,2.56,7734.63387849,66
2020-05-17T00:00:00.0000000Z,2.5602,2.6305,2.5409,2.5409,22368.62897193,334
2020-05-18T00:00:00.0000000Z,2.5654,2.6484,2.03,2.5949,61646.02169361,351
2020-05-19T00:00:00.0000000Z,2.5783,2.6114,2.5291,2.6114,27650.71959827,159
2020-05-20T00:00:00.0000000Z,2.6214,2.7032,2.5428,2.7003,45609.39191507,325
2020-05-21T00:00:00.0000000Z,2.7064,2.718,2.4574,2.5133,151915.13016941,799
2020-05-22T00:00:00.0000000Z,2.5,2.6764,2.483,2.6704,24027.28243342,188
2020-05-23T00:00:00.0000000Z,2.661,2.6662,2.5783,2.5968,5137.65113505,116
2020-05-24T00:00:00.0000000Z,2.5866,2.6499,2.4961,2.4961,19230.36365282,214
2020-05-25T00:00:00.0000000Z,2.488,2.6122,2.4734,2.6116,29796.64037761,167
2020-05-26T00:00:00.0000000Z,2.6035,2.6282,2.5443,2.5722,24298.37375073,105
2020-05-27T00:00:00.0000000Z,2.578,2.6841,2.578,2.5992,36251.9005294,325
2020-05-28T00:00:00.0000000Z,2.6061,2.6774,2.5695,2.6691,63399.693734,370
2020-05-29T00:00:00.0000000Z,2.6691,2.696,2.6379,2.6767,87402.86397565,274
2020-05-30T00:00:00.0000000Z,2.6503,2.8256,2.6503,2.814,69775.0809063,409
2020-05-31T00:00:00.0000000Z,2.8037,2.8824,2.7061,2.7346,23853.57482968,197
2020-06-01T00:00:00.0000000Z,2.7151,2.8647,2.7143,2.862,41896.79153193,324
2020-06-02T00:00:00.0000000Z,2.862,2.9542,2.6506,2.7604,60930.30212766,747
2020-06-03T00:00:00.0000000Z,2.7652,2.9145,2.7537,2.9145,11472.03018954,144
2020-06-04T00:00:00.0000000Z,2.9099,3.1484,2.9098,3.1199,142936.71343397,889
